"","ed","V4"
"1","041/63",84
"2","042/63",116
"3","045/63",119
"4","044/63",168
"5","043/63",160
"6","039/63",100
"7","040/63",87
"8","038/63",118
"9","066/61",103
"10","074/63",52
"11","055/61",171
"12","069/61",132
"13","059/61",140
"14","071/63",108
"15","033/61",116
"16","058/61",209
"17","061/61",199
"18","067/61",123
"19","080/63",89
"20","037/63",105
"21","030/61",102
"22","029/61",101
"23","017/63",22
"24","057/61",124
"25","052/61",66
"26","083/63",79
"27","069/63",63
"28","056/63",71
"29","068/63",25
"30","027/61",116
"31","032/61",148
"32","031/61",165
"33","026/61",124
"34","028/61",84
"35","077/61",88
"36","007/61",165
"37","005/61",94
"38","008/61",96
"39","010/61",212
"40","009/61",213
"41","073/61",220
"42","060/61",105
"43","076/61",133
"44","022/61",147
"45","021/61",145
"46","062/61",59
"47","024/61",97
"48","025/61",149
"49","023/61",110
"50","037/61",91
"51","011/61",131
"52","061/64",58
"53","051/64",69
"54","053/64",69
"55","052/64",48
"56","050/64",75
"57","047/64",76
"58","049/64",134
"59","072/61",79
"60","010/63",59
"61","061/63",65
"62","064/61",47
"63","002/61",159
"64","001/61",234
"65","003/61",149
"66","004/61",93
"67","074/61",71
"68","053/61",192
"69","065/61",158
"70","056/61",119
"71","054/61",110
"72","050/61",102
"73","049/61",64
"74","073/63",44
"75","072/63",52
"76","036/63",101
"77","078/61",64
"78","075/61",83
"79","006/61",72
"80","051/61",115
"81","068/61",112
"82","070/61",124
"83","071/61",73
"84","016/61",183
"85","017/61",142
"86","019/61",122
"87","020/61",88
"88","014/61",127
"89","018/61",106
"90","013/61",135
"91","015/61",75
"92","012/61",163
"93","044/61",57
"94","042/61",90
"95","043/61",52
"96","038/61",111
"97","040/61",95
"98","041/61",48
"99","039/61",95
